Name,Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Jayson Tatum,69,69,2018-03-16,20-013,BOS,@,ORL,W (+9),1,30:19,.450,.438,6.5,20.7,13.3,0.0,0.0,2.7,36.0,19.6,63,89,0.5
Jayson Tatum,70,70,2018-03-18,20-015,BOS,@,NOP,L (-19),1,27:10,.710,.714,0.0,22.1,10.0,9.3,3.7,0.0,11.0,29.8,121,108,17.0
Jayson Tatum,71,71,2018-03-20,20-017,BOS,,OKC,W (+1),1,35:11,.836,.792,5.8,25.1,15.6,21.8,1.4,2.4,6.8,18.1,163,97,24.2
Jayson Tatum,72,72,2018-03-23,20-020,BOS,@,POR,W (+5),1,31:57,.477,.364,7.3,12.8,10.2,20.7,3.3,0.0,18.0,24.6,98,107,9.7
Jayson Tatum,73,73,2018-03-25,20-022,BOS,@,SAC,W (+11),1,27:31,.600,.600,0.0,31.3,17.7,5.9,3.8,0.0,23.1,24.0,87,96,8.8
Jayson Tatum,74,74,2018-03-26,20-023,BOS,@,PHO,W (+8),1,32:15,.624,.611,0.0,19.8,9.8,0.0,3.2,0.0,17.8,31.8,93,98,12.6
Jayson Tatum,75,75,2018-03-28,20-025,BOS,@,UTA,W (+3),1,32:05,.504,.467,0.0,7.0,3.4,17.2,3.3,6.1,15.9,27.2,93,101,10.6
Jayson Tatum,76,76,2018-03-31,20-028,BOS,,TOR,W (+11),1,33:27,.676,.625,0.0,20.5,9.9,21.2,0.0,0.0,0.0,24.3,142,108,20.2
Jayson Tatum,77,77,2018-04-03,20-031,BOS,@,MIL,L (-4),1,32:34,.605,.500,0.0,8.2,3.8,9.6,4.7,2.5,15.4,26.5,110,108,15.2
Jayson Tatum,78,78,2018-04-04,20-032,BOS,@,TOR,L (-18),1,28:19,.400,.400,0.0,14.4,7.5,27.9,1.8,0.0,16.7,19.7,75,105,4.5
Jayson Tatum,79,,2018-04-06,20-034,BOS,,CHI,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Jayson Tatum,80,79,2018-04-08,20-036,BOS,,ATL,L (-6),1,29:15,.713,.708,7.8,9.1,8.4,11.4,6.9,0.0,0.0,21.3,147,109,18.8
Jayson Tatum,81,80,2018-04-10,20-038,BOS,@,WAS,L (-12),1,25:50,.455,.364,0.0,13.6,5.9,13.5,7.4,0.0,13.2,24.6,89,103,9.0
Jayson Tatum,82,,2018-04-11,20-039,BOS,,BRK,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
LeBron James,17,17,2018-11-21,33-326,LAL,@,CLE,W (+4),1,35:30,.633,.600,7.1,27.5,19.5,37.7,0.0,2.0,13.7,37.6,120,106,26.2
LeBron James,18,18,2018-11-23,33-328,LAL,,UTA,W (+7),1,35:04,.560,.529,3.5,25.1,15.6,38.3,2.7,2.2,20.3,30.7,102,78,18.1
LeBron James,19,19,2018-11-25,33-330,LAL,,ORL,L (-4),1,40:27,.637,.643,0.0,10.3,5.5,30.2,0.0,1.9,24.2,26.6,103,113,14.6
LeBron James,20,20,2018-11-27,33-332,LAL,@,DEN,L (-32),1,30:04,.397,.333,0.0,23.8,11.3,12.3,3.3,4.4,18.5,32.3,68,111,7.6
Collin Sexton,16,16,2018-11-21,19-321,CLE,,LAL,L (-4),1,35:47,.336,.294,2.3,7.1,4.1,8.3,0.0,0.0,0.0,21.5,83,118,4.8
Collin Sexton,17,17,2018-11-23,19-323,CLE,@,PHI,W (+9),1,31:30,.582,.556,3.7,19.0,10.4,13.5,1.7,3.6,9.2,30.7,122,120,17.3
Collin Sexton,18,18,2018-11-24,19-324,CLE,,HOU,W (+9),1,33:39,.690,.690,0.0,15.4,7.1,11.9,0.0,0.0,12.5,29.6,132,123,17.9
Collin Sexton,19,19,2018-11-26,19-326,CLE,,MIN,L (-7),1,38:57,.283,.263,3.1,19.0,10.9,16.5,0.0,0.0,17.1,26.7,61,112,0.2
Collin Sexton,20,20,2018-11-28,19-328,CLE,@,OKC,L (-17),1,37:57,.503,.475,2.6,25.9,13.6,16.1,1.3,0.0,8.7,27.6,96,101,14.3
Jayson Tatum,18,18,2018-11-21,20-263,BOS,,NYK,L (-8),1,29:00,.470,.375,9.0,18.8,13.4,0.0,0.0,0.0,0.0,22.2,110,121,9.8
